"history_id","user_id","location","recorded_at","transport_mode"
3144,9,POINT (-84.0073856 34.00579),2026-09-08 05:03:10.097 -0400,
3143,9,POINT (-84.0073898 34.0057926),2026-09-08 05:02:07.840 -0400,
3142,9,POINT (-84.0073927 34.0057898),2026-09-08 05:01:06.032 -0400,
3141,9,POINT (-84.007418 34.005769),2026-09-08 05:00:03.869 -0400,
3140,9,POINT (-84.0073961 34.00578),2026-09-08 04:59:02.403 -0400,
3139,9,POINT (-84.0074096 34.0057717),2026-09-08 04:58:00.816 -0400,
3138,9,POINT (-84.0073942 34.0057892),2026-09-08 04:57:00.105 -0400,
3137,9,POINT (-84.0073994 34.0057833),2026-09-08 04:55:58.190 -0400,
3136,9,POINT (-84.0073897 34.0057874),2026-09-08 04:54:55.762 -0400,
3135,9,POINT (-84.0073949 34.0057879),2026-09-08 04:53:55.080 -0400,
3134,9,POINT (-84.0073983 34.005764),2026-09-08 04:52:53.213 -0400,
3133,9,POINT (-84.0073903 34.0057867),2026-09-08 04:51:50.613 -0400,
3132,9,POINT (-84.0075436 34.005701),2026-09-08 04:50:48.751 -0400,
3131,9,POINT (-84.0075388 34.005699),2026-09-08 04:49:45.318 -0400,
3130,9,POINT (-84.0075393 34.0056925),2026-09-08 04:48:43.253 -0400,
3129,9,POINT (-84.0074959 34.0057456),2026-09-08 04:47:39.238 -0400,
3128,9,POINT (-84.0074055 34.0057846),2026-09-08 04:46:44.840 -0400,
3127,9,POINT (-84.0074222 34.0057581),2026-09-08 04:45:43.267 -0400,
3126,9,POINT (-84.0074039 34.0057782),2026-09-08 04:44:40.873 -0400,
3125,9,POINT (-84.0074066 34.0056714),2026-09-08 04:43:38.908 -0400,
3124,9,POINT (-84.0074003 34.0056695),2026-09-08 04:42:36.937 -0400,
3123,9,POINT (-84.0074153 34.0057766),2026-09-08 04:41:34.980 -0400,
3122,9,POINT (-84.0073847 34.0057847),2026-09-08 04:40:33.183 -0400,
3121,9,POINT (-84.0073939 34.0057166),2026-09-08 04:39:31.986 -0400,
3120,9,POINT (-84.0073845 34.0057846),2026-09-08 04:38:30.990 -0400,
3119,9,POINT (-84.0074008 34.0057673),2026-09-08 04:37:28.948 -0400,
3118,9,POINT (-84.0073874 34.0057852),2026-09-08 04:36:27.135 -0400,
3117,9,POINT (-84.0073892 34.0057905),2026-09-08 04:35:25.268 -0400,
3116,9,POINT (-84.007388 34.0057876),2026-09-08 04:34:23.843 -0400,
3115,9,POINT (-84.007393 34.0057643),2026-09-08 04:33:21.888 -0400,
3114,9,POINT (-84.0074033 34.0057677),2026-09-08 04:32:20.341 -0400,
3113,9,POINT (-84.0074135 34.0057726),2026-09-08 04:31:19.089 -0400,
3112,9,POINT (-84.0073994 34.0057367),2026-09-08 04:30:17.449 -0400,
3111,9,POINT (-84.0073987 34.0057688),2026-09-08 04:29:16.487 -0400,
3110,9,POINT (-84.0073983 34.005784),2026-09-08 04:28:15.595 -0400,
3109,9,POINT (-84.0073958 34.0057907),2026-09-08 04:27:14.772 -0400,
3108,9,POINT (-84.0074319 34.0057256),2026-09-08 04:26:13.946 -0400,
3107,9,POINT (-84.0074959 34.0055221),2026-09-08 04:25:13.201 -0400,
3106,9,POINT (-84.007409 34.0057002),2026-09-08 04:24:12.058 -0400,
3105,9,POINT (-84.0074194 34.0057292),2026-09-08 04:23:11.254 -0400,
3104,9,POINT (-84.0074737 34.0055169),2026-09-08 04:22:10.419 -0400,
3103,9,POINT (-84.0073914 34.0057845),2026-09-08 04:21:09.624 -0400,
3102,9,POINT (-84.0073904 34.0057576),2026-09-08 04:20:08.880 -0400,
3101,9,POINT (-84.007394 34.005767),2026-09-08 04:19:07.889 -0400,
3100,9,POINT (-84.0073933 34.0057446),2026-09-08 04:18:07.169 -0400,
3099,9,POINT (-84.0073966 34.0057723),2026-09-08 04:17:04.970 -0400,
3098,9,POINT (-84.0074776 34.0057162),2026-09-08 04:16:02.243 -0400,
3097,9,POINT (-84.0074945 34.0056829),2026-09-08 04:14:59.966 -0400,
3096,9,POINT (-84.0075112 34.0057231),2026-09-08 04:13:55.884 -0400,
3095,9,POINT (-84.0075385 34.0056347),2026-09-08 04:12:51.504 -0400,
3094,9,POINT (-84.0074875 34.005605),2026-09-08 04:11:58.222 -0400,
3093,9,POINT (-84.0073962 34.0057476),2026-09-08 04:10:56.643 -0400,
3092,9,POINT (-84.0074161 34.0057694),2026-09-08 04:09:55.841 -0400,
3091,9,POINT (-84.0073846 34.0057898),2026-09-08 04:08:54.763 -0400,
3090,9,POINT (-84.0073938 34.0058019),2026-09-08 04:07:54.201 -0400,
3089,9,POINT (-84.0073915 34.005789),2026-09-08 04:06:52.035 -0400,
3088,9,POINT (-84.0073898 34.0057735),2026-09-08 04:05:49.177 -0400,
3087,9,POINT (-84.0073919 34.0057845),2026-09-08 04:04:47.364 -0400,
3086,9,POINT (-84.0074077 34.0057923),2026-09-08 04:03:44.905 -0400,
3085,9,POINT (-84.0073895 34.0058038),2026-09-08 04:02:42.890 -0400,
3084,9,POINT (-84.0074073 34.0057746),2026-09-08 04:01:40.913 -0400,
3083,9,POINT (-84.0073897 34.0057727),2026-09-08 04:00:38.867 -0400,
3082,9,POINT (-84.0073997 34.0057706),2026-09-08 03:59:37.013 -0400,
3081,9,POINT (-84.0073905 34.0057864),2026-09-08 03:58:34.947 -0400,
3080,9,POINT (-84.0073889 34.0058017),2026-09-08 03:57:32.778 -0400,
3079,9,POINT (-84.0073932 34.0057463),2026-09-08 03:56:31.949 -0400,
3078,9,POINT (-84.0073953 34.0057766),2026-09-08 03:55:29.934 -0400,
3077,9,POINT (-84.0074295 34.005663),2026-09-08 03:54:28.190 -0400,
3076,9,POINT (-84.0073889 34.0056899),2026-09-08 03:53:26.294 -0400,
3075,9,POINT (-84.0073979 34.005776),2026-09-08 03:52:24.873 -0400,
3074,9,POINT (-84.0073896 34.0056711),2026-09-08 03:51:23.698 -0400,
